"su","vc","pl","ss","sm","sc","mt","su","vc","pl","ss","sm","sc","mt"
"Elev",932.205787623641,1134.64089366969,1026.43257989088,993.443951703398,995.545798241504,1158.83025702452,875.481123238133,626,897,652,684,628,870,598
"Locrel",190.412033025423,255.991335785078,279.856253572356,222.631949369361,247.90897007071,281.822752658999,252.674836067359,114,190,198,145,163,199,167
"slope",36.5501512302788,69.7639290834454,73.3945440374123,56.7808698774631,63.5258272229062,73.7949576436292,66.5250201511884,20,50,49,35,39,49,42
"P",740.624327638355,802.142171485561,864.100982073266,748.636958570851,810.792183737729,802.215129955407,861.904428904429,561,620,673,576,680,654,701
"T",142.807643260034,124.351946999581,112.676404260847,128.997315857983,119.67961387185,117.91761072547,125.133651395334,138,123,112,130,117,119,129
"NDVI",110.038543284558,107.783750812548,105.504182904651,107.550267067642,109.748777006635,104.703029166005,110.954294926258,106,105,106,104,110,103,114
"ksn",132.290599198888,156.395036553548,169.439189399844,137.681664347592,157.266541734308,180.561095637366,155.535803760103,81,110,110,88,94,113,95
"tetrapods",260.259306793101,260.924622220639,256.668028059236,254.159737869743,252.405815891832,254.916095420894,268.031980480579,235,236,228,233,228,230,229
"Amphibians",13.2150739802174,11.4600404270665,12.0799168615225,12.1710130616275,12.0134011745094,11.7223673386922,14.0902773239222,9,9,7,9,9,9,8
"Mammals",56.7356249489087,56.4686155955869,53.6939776565342,55.0823466044257,54.5424751860366,58.3766902861761,57.2524671590092,54,55,48,51,50,53,50
"KG",2.63081010381754,2.76466816858265,2.83131202909847,2.78692939539477,2.89503502827321,2.88610682175689,2.79739886281942,3,3,3,3,3,3,3
"Geo",1,7.50435882138182,10.5578799688231,2,4,5,13,1,8,10,2,4,5,13
"LC",7.57302378811412,6.43475124887579,6.68076903091712,7.10526504780286,7.12063236111262,7.31548641276897,6.7281659150818,7,7,6,7,7,7,6
"SR",21.1964113463582,23.8817819965984,20.7701428942582,15.4896718883253,14.1291851432182,18.2160968640411,17.50813672309,0,2,0,0,0,2,0
"weight",49.9616529060737,62.5700305429159,63.7784983112497,94.6271556173976,95.0421864615452,83.2763915547025,195.800383417206,2,2,2,2,2,2,2
"NDVIc",2.30480758443319,0.828571804453197,-1.38842519634074,1.67483605404864,3.24355809657808,-1.20348969012634,1.95160786064743,-0.0048610208283506,-0.967963892209212,-1.28705982419423,-0.866951460417454,1.86266122896662,-2.79960089114564,4.67396313448143
"Amphc",0.414552129781008,-0.732236566620307,0.174959305329564,0.114839610645243,0.0324324143722798,-0.081657756148343,1.41554839847481,-0.684653868387616,-1.15328413092345,-1.05490520627756,-0.795172895352685,-0.378596313408454,-0.668160872836411,-0.774809787546429
"Tetc",-1.36286789704362,4.54148586173337,2.75578762979773,-1.03953806052684,-2.15495501180378,1.88415346154245,7.47506749724113,-0.881645126038478,7.62680319068333,-3.06668021750664,-4.15512232450942,-8.41318914877772,-7.84455392032544,-11.1122156806524
